title,outlet,type,date,topic,url,note
Google joins the AI-powered customer service assistant gold rush,CX Dive,Media,2024-09-24,Contact Center AI,https://www.customerexperiencedive.com/news/google-ai-powered-customer-service-assistant-customer-engagement-suite/727969/,On where Google's Customer Engagement Suite stands against Salesforce and Microsoft.
"AWS, Salesforce upgrade contact center tech as generative AI creeps in",CX Dive,Media,2024-03-25,Contact Center AI,https://www.customerexperiencedive.com/news/aws-salesforce-call-center-solutions-agents-analysis/711228/,On the future of call centers as employee-facing generative AI expands.
Agent roles are evolving as call centers enter the AI-powered era,CX Dive,Media,2024-04-02,Contact Center AI,https://www.customerexperiencedive.com/news/agent-call-center-generative-ai-self-service-investment/712057/,On training agents for critical thinking and emotional intelligence as self-service grows.
"Call centers must maintain security, trust as they implement AI, experts say",CX Dive,Media,2024-04-04,Data Privacy,https://www.customerexperiencedive.com/news/call-center-security-customer-trust-generative-ai/712295/,On data privacy and confidentiality as the top concern in AI-powered call centers.
"Most consumers prefer live agents for customer service, survey finds",CX Dive,Media,2024-11-01,Customer Service AI,https://www.customerexperiencedive.com/news/customer-service-live-agents-survey-chatbots-ai-five9/731681/,On transparency as the key ingredient in building trust with AI chatbots.
Online shopping brings convenience but lacks joy,CX Dive,Media,2025-04-15,E-commerce CX,https://www.customerexperiencedive.com/news/online-shopping-convenience-joy-discovery/745290/,On adding discovery and delight to e-commerce without adding fluff.
Klarna changes its AI tune and again recruits humans for customer service,CX Dive,Media,2025-05-09,Customer Service AI,https://www.customerexperiencedive.com/news/klarna-reinvests-human-talent-customer-service-AI-chatbot/747586/,On Klarna's AI-to-human pivot and the limits of AI empathy.
Adobe Acrobat Studio brings genAI power to PDFs,Computerworld,Media,2025-08-22,Enterprise AI Tools,https://www.computerworld.com/article/4044077/adobe-acrobat-studio-brings-genai-power-to-pdfs.html,"On Acrobat Studio's positioning against Microsoft Copilot, Foxit, and Nitro."
What Is a Domain Name?,Forbes Advisor,Media,2025-09-25,Digital Branding,https://www.forbes.com/advisor/business/what-is-domain-name/,On the trust signals a clean domain name sends a brand's customers.
Consumers prefer talking to people in customer service,CX Dive,Media,2026-03-09,Customer Service AI,https://www.customerexperiencedive.com/news/consumers-prefer-human-led-customer-service/814226/,"On AI's real power being to guide live agents, not replace them."
Google embeds Gemini AI deeper into Workspace apps,Computerworld,Media,2026-03-11,Enterprise AI Tools,https://www.computerworld.com/article/4143838/google-embeds-gemini-ai-deeper-into-workspace-apps.html,On Gemini in Workspace versus Microsoft 365 Copilot.
How agentic AI is shifting the digital shopping landscape,CX Dive,Media,2026-03-06,Agentic Commerce,https://www.customerexperiencedive.com/news/how-agentic-ai-shifts-digital-shopping-experience/813983/,On the risk of brands becoming mere fulfillment behind AI shopping agents.
"C3 AI slashes 26% of its workforce; CEO attributes the move, in part, to AI efficiency",CIO,Media,2026-02-26,AI & Workforce,https://www.cio.com/article/4138095/c3-ai-slashes-26-of-its-workforce-ceo-attributes-the-move-in-part-to-ai-efficiency.html,On reading the layoffs as ordinary cost-cutting rather than an AI productivity story.
AI referrals make shoppers more likely to either return or never come back,CX Dive,Media,2026-05-12,Agentic Commerce,https://www.customerexperiencedive.com/news/ai-referrals-shoppers-more-likely-return-again-never-come-back/820038/,"On brands needing to justify an AI recommendation fast, or lose the customer's confidence."
Scale Your Marketing Department,Info-Tech Research Group,Research,2023-06-09,Marketing Operations,https://www.infotech.com/research/ss/scale-your-marketing-department,"Blueprint on structuring and scaling marketing teams, co-authored."
Make the Case for RevOps,Info-Tech Research Group,Research,2025-05-16,RevOps,https://www.infotech.com/research/ss/make-the-case-for-revops,"Blueprint outlining a strategic RevOps model unifying Sales, Marketing, and Customer Success."
RevOps Replaces SalesOps as the Driver of Scalable Growth for Orgs,Info-Tech Research Group,Research,2025-06-16,RevOps,https://www.infotech.com/research/revops-replaces-salesops-as-the-driver-of-scalable-growth-for-orgs-new-resource-from-info-tech-research-group-explains-the-shift,Press release announcing the RevOps blueprint.
CX Strategy Executive Presentation,Info-Tech Research Group,Research,2026-01-07,CX Strategy,https://www.infotech.com/research/cx-strategy-executive-presentation,Executive framework covering the CX journey from strategy to orchestration.